v,imgt,species,added
IGHV1-10,IGHV1-10*01,Bos_taurus,
IGHV1-10,IGHV1-10*02,Bos_taurus,
IGHV1-14,IGHV1-14*01,Bos_taurus,
IGHV1-14,IGHV1-14*02,Bos_taurus,
IGHV1-14,IGHV1-14*03,Bos_taurus,
IGHV1-17,IGHV1-17*01,Bos_taurus,
IGHV1-20,IGHV1-20*01,Bos_taurus,
IGHV1-20,IGHV1-20*02,Bos_taurus,
IGHV1-21,IGHV1-21*01,Bos_taurus,
IGHV1-21,IGHV1-21*02,Bos_taurus,
IGHV1-21,IGHV1-21*03,Bos_taurus,
IGHV1-25,IGHV1-25*01,Bos_taurus,
IGHV1-27,IGHV1-27*01,Bos_taurus,
IGHV1-30,IGHV1-30*01,Bos_taurus,
IGHV1-30,IGHV1-30*02,Bos_taurus,
IGHV1-30,IGHV1-30*03,Bos_taurus,
IGHV1-32,IGHV1-32*01,Bos_taurus,
IGHV1-32,IGHV1-32*02,Bos_taurus,
IGHV1-33,IGHV1-33*01,Bos_taurus,
IGHV1-37,IGHV1-37*01,Bos_taurus,
IGHV1-37,IGHV1-37*02,Bos_taurus,
IGHV1-39,IGHV1-39*01,Bos_taurus,
IGHV1-39,IGHV1-39*02,Bos_taurus,
IGHV1-39,IGHV1-39*03,Bos_taurus,
IGHV1-7,IGHV1-7*01,Bos_taurus,
IGHV1-7,IGHV1-7*02,Bos_taurus,
IGHV1S1,IGHV1S1*01,Bos_taurus,
IGHV2S1,IGHV2S1*01,Bos_taurus,
IGKV1-1,IGKV1-1*01,Bos_taurus,
IGKV1-4,IGKV1-4*01,Bos_taurus,
IGKV2-12,IGKV2-12*01,Bos_taurus,
IGKV2-15,IGKV2-15*01,Bos_taurus,
IGKV2-18,IGKV2-18*01,Bos_taurus,
IGKV2-22,IGKV2-22*01,Bos_taurus,
IGKV2-23,IGKV2-23*01,Bos_taurus,
IGKV2-6,IGKV2-6*01,Bos_taurus,
IGKV2-7,IGKV2-7*01,Bos_taurus,
IGKV2-9,IGKV2-9*01,Bos_taurus,
IGKV8-3,IGKV8-3*01,Bos_taurus,
IGLV1-12,IGLV1-12*01,Bos_taurus,
IGLV1-16,IGLV1-16*01,Bos_taurus,
IGLV1-16,IGLV1-16*02,Bos_taurus,
IGLV1-21,IGLV1-21*01,Bos_taurus,
IGLV1-26,IGLV1-26*01,Bos_taurus,
IGLV1-31,IGLV1-31*01,Bos_taurus,
IGLV1-31,IGLV1-31*02,Bos_taurus,
IGLV1-31,IGLV1-31*03,Bos_taurus,
IGLV1-36,IGLV1-36*01,Bos_taurus,
IGLV1-40,IGLV1-40*01,Bos_taurus,
IGLV1-40,IGLV1-40*02,Bos_taurus,
IGLV1-43,IGLV1-43*01,Bos_taurus,
IGLV1-46,IGLV1-46*01,Bos_taurus,
IGLV1-47,IGLV1-47*01,Bos_taurus,
IGLV1-47,IGLV1-47*02,Bos_taurus,
IGLV1-47,IGLV1-47*03,Bos_taurus,
IGLV1-47,IGLV1-47*04,Bos_taurus,
IGLV1-47,IGLV1-47*05,Bos_taurus,
IGLV1-51,IGLV1-51*01,Bos_taurus,
IGLV1-52,IGLV1-52*01,Bos_taurus,
IGLV1-55,IGLV1-55*01,Bos_taurus,
IGLV1-58,IGLV1-58*01,Bos_taurus,
IGLV1-63,IGLV1-63*01,Bos_taurus,
IGLV1-64,IGLV1-64*01,Bos_taurus,
IGLV1-67,IGLV1-67*01,Bos_taurus,
IGLV1-67,IGLV1-67*02,Bos_taurus,
IGLV1-67,IGLV1-67*03,Bos_taurus,
IGLV1-67,IGLV1-67*04,Bos_taurus,
IGLV1-70,IGLV1-70*01,Bos_taurus,
IGLV1-71,IGLV1-71*01,Bos_taurus,
IGLV1-73,IGLV1-73*01,Bos_taurus,
IGLV13-23,IGLV13-23*01,Bos_taurus,
IGLV2-6,IGLV2-6*01,Bos_taurus,
IGLV2-7,IGLV2-7*01,Bos_taurus,
IGLV2-9,IGLV2-9*01,Bos_taurus,
IGLV3-1,IGLV3-1*01,Bos_taurus,
IGLV3-2,IGLV3-2*01,Bos_taurus,
IGLV3-3,IGLV3-3*01,Bos_taurus,
IGLV3-4,IGLV3-4*01,Bos_taurus,
IGLV3-5,IGLV3-5*01,Bos_taurus,
IGLV5-45,IGLV5-45*01,Bos_taurus,
IGLV5-50,IGLV5-50*01,Bos_taurus,
IGLV5-72,IGLV5-72*01,Bos_taurus,
IGLV5-74,IGLV5-74*01,Bos_taurus,
IGLV5-74,IGLV5-74*02,Bos_taurus,
IGLV8-24,IGLV8-24*01,Bos_taurus,
IGLV8-27,IGLV8-27*01,Bos_taurus,
IGLV8-38,IGLV8-38*01,Bos_taurus,
IGLV8-44,IGLV8-44*01,Bos_taurus,
IGLV8-49,IGLV8-49*01,Bos_taurus,
TRAV1,TRAV1*01,Bos_taurus,
TRAV10-1,TRAV10-1*01,Bos_taurus,
TRAV10-2,TRAV10-2*01,Bos_taurus,
TRAV10-3,TRAV10-3*01,Bos_taurus,
TRAV11-1,TRAV11-1*01,Bos_taurus,
TRAV11-3,TRAV11-3*01,Bos_taurus,
TRAV12-1,TRAV12-1*01,Bos_taurus,
TRAV12-2,TRAV12-2*02,Bos_taurus,
TRAV12-2,TRAV12-2*03,Bos_taurus,
TRAV12-3,TRAV12-3*01,Bos_taurus,
TRAV13-1,TRAV13-1*01,Bos_taurus,
TRAV13-1,TRAV13-1*02,Bos_taurus,
TRAV13-4,TRAV13-4*01,Bos_taurus,
TRAV13-4,TRAV13-4*02,Bos_taurus,
TRAV14-1,TRAV14-1*01,Bos_taurus,
TRAV14-3,TRAV14-3*01,Bos_taurus,
TRAV14-3,TRAV14-3*02,Bos_taurus,
TRAV14-3,TRAV14-3*03,Bos_taurus,
TRAV14-4,TRAV14-4*01,Bos_taurus,
TRAV14-4,TRAV14-4*02,Bos_taurus,
TRAV16,TRAV16*01,Bos_taurus,
TRAV17-1,TRAV17-1*01,Bos_taurus,
TRAV17-2,TRAV17-2*01,Bos_taurus,
TRAV17-2,TRAV17-2*02,Bos_taurus,
TRAV17-3,TRAV17-3*01,Bos_taurus,
TRAV18-1,TRAV18-1*01,Bos_taurus,
TRAV18-1,TRAV18-1*02,Bos_taurus,
TRAV18-1,TRAV18-1*03,Bos_taurus,
TRAV18-2,TRAV18-2*01,Bos_taurus,
TRAV18-4,TRAV18-4*01,Bos_taurus,
TRAV18-5,TRAV18-5*01,Bos_taurus,
TRAV19-1,TRAV19-1*01,Bos_taurus,
TRAV19-2,TRAV19-2*01,Bos_taurus,
TRAV19-3,TRAV19-3*01,Bos_taurus,
TRAV19-3,TRAV19-3*02,Bos_taurus,
TRAV19-3,TRAV19-3*03,Bos_taurus,
TRAV2-1,TRAV2-1*01,Bos_taurus,
TRAV2-2,TRAV2-2*01,Bos_taurus,
TRAV2-5,TRAV2-5*01,Bos_taurus,
TRAV2-6,TRAV2-6*01,Bos_taurus,
TRAV2-7,TRAV2-7*01,Bos_taurus,
TRAV20-1,TRAV20-1*01,Bos_taurus,
TRAV20-1,TRAV20-1*02,Bos_taurus,
TRAV20-3,TRAV20-3*01,Bos_taurus,
TRAV20-4,TRAV20-4*01,Bos_taurus,
TRAV21-1,TRAV21-1*01,Bos_taurus,
TRAV21-3,TRAV21-3*01,Bos_taurus,
TRAV21-3,TRAV21-3*02,Bos_taurus,
TRAV21-3,TRAV21-3*03,Bos_taurus,
TRAV21-4,TRAV21-4*01,Bos_taurus,
TRAV22-1,TRAV22-1*01,Bos_taurus,
TRAV22-1,TRAV22-1*02,Bos_taurus,
TRAV22-1,TRAV22-1*03,Bos_taurus,
TRAV22-10,TRAV22-10*01,Bos_taurus,
TRAV22-11,TRAV22-11*01,Bos_taurus,
TRAV22-13,TRAV22-13*01,Bos_taurus,
TRAV22-14,TRAV22-14*01,Bos_taurus,
TRAV22-14,TRAV22-14*02,Bos_taurus,
TRAV22-15,TRAV22-15*01,Bos_taurus,
TRAV22-16,TRAV22-16*01,Bos_taurus,
TRAV22-2,TRAV22-2*01,Bos_taurus,
TRAV22-3,TRAV22-3*01,Bos_taurus,
TRAV22-4,TRAV22-4*01,Bos_taurus,
TRAV22-5,TRAV22-5*01,Bos_taurus,
TRAV22-5,TRAV22-5*02,Bos_taurus,
TRAV22-6,TRAV22-6*01,Bos_taurus,
TRAV22-7,TRAV22-7*02,Bos_taurus,
TRAV22-8,TRAV22-8*01,Bos_taurus,
TRAV23-1,TRAV23-1*01,Bos_taurus,
TRAV23-1,TRAV23-1*02,Bos_taurus,
TRAV23-11,TRAV23-11*01,Bos_taurus,
TRAV23-11,TRAV23-11*02,Bos_taurus,
TRAV23-2,TRAV23-2*01,Bos_taurus,
TRAV23-3,TRAV23-3*01,Bos_taurus,
TRAV23-8,TRAV23-8*01,Bos_taurus,
TRAV23-8D,TRAV23-8D*01,Bos_taurus,
TRAV23-8D,TRAV23-8D*02,Bos_taurus,
TRAV24-1,TRAV24-1*01,Bos_taurus,
TRAV24-1D,TRAV24-1D*01,Bos_taurus,
TRAV24-2,TRAV24-2*01,Bos_taurus,
TRAV24-2,TRAV24-2*02,Bos_taurus,
TRAV24-4,TRAV24-4*01,Bos_taurus,
TRAV24-6,TRAV24-6*01,Bos_taurus,
TRAV24-6,TRAV24-6*02,Bos_taurus,
TRAV25-1,TRAV25-1*01,Bos_taurus,
TRAV25-10,TRAV25-10*01,Bos_taurus,
TRAV25-11,TRAV25-11*01,Bos_taurus,
TRAV25-12,TRAV25-12*01,Bos_taurus,
TRAV25-13,TRAV25-13*01,Bos_taurus,
TRAV25-13,TRAV25-13*02,Bos_taurus,
TRAV25-14,TRAV25-14*01,Bos_taurus,
TRAV25-2,TRAV25-2*01,Bos_taurus,
TRAV25-3,TRAV25-3*01,Bos_taurus,
TRAV25-3D,TRAV25-3D*01,Bos_taurus,
TRAV25-4,TRAV25-4*01,Bos_taurus,
TRAV25-8,TRAV25-8*01,Bos_taurus,
TRAV25-8,TRAV25-8*02,Bos_taurus,
TRAV25-9,TRAV25-9*01,Bos_taurus,
TRAV26,TRAV26*01,Bos_taurus,
TRAV26,TRAV26*02,Bos_taurus,
TRAV26,TRAV26*03,Bos_taurus,
TRAV27,TRAV27*02,Bos_taurus,
TRAV28-1,TRAV28-1*01,Bos_taurus,
TRAV28-1,TRAV28-1*02,Bos_taurus,
TRAV28-3,TRAV28-3*01,Bos_taurus,
TRAV28-3,TRAV28-3*02,Bos_taurus,
TRAV29-1,TRAV29-1*01,Bos_taurus,
TRAV29-2,TRAV29-2*01,Bos_taurus,
TRAV29-2,TRAV29-2*02,Bos_taurus,
TRAV29-2,TRAV29-2*03,Bos_taurus,
TRAV3-1,TRAV3-1*01,Bos_taurus,
TRAV3-2,TRAV3-2*01,Bos_taurus,
TRAV3-3,TRAV3-3*01,Bos_taurus,
TRAV3-4,TRAV3-4*01,Bos_taurus,
TRAV3-5,TRAV3-5*01,Bos_taurus,
TRAV3-6,TRAV3-6*01,Bos_taurus,
TRAV3-7,TRAV3-7*01,Bos_taurus,
TRAV33-3,TRAV33-3*02,Bos_taurus,
TRAV33-3,TRAV33-3*03,Bos_taurus,
TRAV33-3,TRAV33-3*04,Bos_taurus,
TRAV35-1,TRAV35-1*01,Bos_taurus,
TRAV35-2,TRAV35-2*01,Bos_taurus,
TRAV36-2,TRAV36-2*01,Bos_taurus,
TRAV38-1,TRAV38-1*01,Bos_taurus,
TRAV38-1,TRAV38-1*02,Bos_taurus,
TRAV38-2,TRAV38-2*01,Bos_taurus,
TRAV38-2,TRAV38-2*02,Bos_taurus,
TRAV38-3,TRAV38-3*01,Bos_taurus,
TRAV38-3,TRAV38-3*02,Bos_taurus,
TRAV38-4,TRAV38-4*01,Bos_taurus,
TRAV38-5,TRAV38-5*01,Bos_taurus,
TRAV38-6,TRAV38-6*01,Bos_taurus,
TRAV39-1,TRAV39-1*01,Bos_taurus,
TRAV39-2,TRAV39-2*01,Bos_taurus,
TRAV4,TRAV4*01,Bos_taurus,
TRAV41,TRAV41*01,Bos_taurus,
TRAV43-1,TRAV43-1*01,Bos_taurus,
TRAV43-2,TRAV43-2*01,Bos_taurus,
TRAV43-3,TRAV43-3*01,Bos_taurus,
TRAV43-3,TRAV43-3*02,Bos_taurus,
TRAV43-3,TRAV43-3*03,Bos_taurus,
TRAV43-3,TRAV43-3*04,Bos_taurus,
TRAV44-1,TRAV44-1*01,Bos_taurus,
TRAV44-10,TRAV44-10*01,Bos_taurus,
TRAV44-12,TRAV44-12*01,Bos_taurus,
TRAV44-15,TRAV44-15*01,Bos_taurus,
TRAV44-16,TRAV44-16*01,Bos_taurus,
TRAV44-18,TRAV44-18*01,Bos_taurus,
TRAV44-2,TRAV44-2*01,Bos_taurus,
TRAV44-3,TRAV44-3*01,Bos_taurus,
TRAV44-4,TRAV44-4*01,Bos_taurus,
TRAV44-5,TRAV44-5*01,Bos_taurus,
TRAV44-5,TRAV44-5*02,Bos_taurus,
TRAV44-6,TRAV44-6*01,Bos_taurus,
TRAV44-8,TRAV44-8*01,Bos_taurus,
TRAV44-9,TRAV44-9*01,Bos_taurus,
TRAV45-1,TRAV45-1*01,Bos_taurus,
TRAV45-10,TRAV45-10*01,Bos_taurus,
TRAV45-11,TRAV45-11*01,Bos_taurus,
TRAV45-12,TRAV45-12*01,Bos_taurus,
TRAV45-13,TRAV45-13*01,Bos_taurus,
TRAV45-13,TRAV45-13*02,Bos_taurus,
TRAV45-14,TRAV45-14*02,Bos_taurus,
TRAV45-15,TRAV45-15*01,Bos_taurus,
TRAV45-15,TRAV45-15*02,Bos_taurus,
TRAV45-2,TRAV45-2*01,Bos_taurus,
TRAV45-2,TRAV45-2*02,Bos_taurus,
TRAV45-3,TRAV45-3*01,Bos_taurus,
TRAV45-4,TRAV45-4*01,Bos_taurus,
TRAV45-5,TRAV45-5*01,Bos_taurus,
TRAV45-5,TRAV45-5*02,Bos_taurus,
TRAV45-6,TRAV45-6*01,Bos_taurus,
TRAV45-6,TRAV45-6*02,Bos_taurus,
TRAV45-7,TRAV45-7*01,Bos_taurus,
TRAV45-8,TRAV45-8*01,Bos_taurus,
TRAV45-9,TRAV45-9*01,Bos_taurus,
TRAV45-9,TRAV45-9*02,Bos_taurus,
TRAV5,TRAV5*01,Bos_taurus,
TRAV5,TRAV5*02,Bos_taurus,
TRAV5,TRAV5*03,Bos_taurus,
TRAV8-1,TRAV8-1*01,Bos_taurus,
TRAV8-1,TRAV8-1*02,Bos_taurus,
TRAV8-1,TRAV8-1*03,Bos_taurus,
TRAV9-1,TRAV9-1*01,Bos_taurus,
TRAV9-1,TRAV9-1*02,Bos_taurus,
TRAV9-1,TRAV9-1*03,Bos_taurus,
TRAV9-3,TRAV9-3*01,Bos_taurus,
TRAV9-5,TRAV9-5*01,Bos_taurus,
TRAV9-6,TRAV9-6*01,Bos_taurus,
TRAV9-6,TRAV9-6*02,Bos_taurus,
TRBV1,TRBV1*01,Bos_taurus,
TRBV11,TRBV11*01,Bos_taurus,
TRBV12-1,TRBV12-1*01,Bos_taurus,
TRBV12-2,TRBV12-2*01,Bos_taurus,
TRBV14,TRBV14*01,Bos_taurus,
TRBV15,TRBV15*01,Bos_taurus,
TRBV16,TRBV16*01,Bos_taurus,
TRBV19-1,TRBV19-1*01,Bos_taurus,
TRBV19-2,TRBV19-2*01,Bos_taurus,
TRBV19-3,TRBV19-3*01,Bos_taurus,
TRBV19-6,TRBV19-6*01,Bos_taurus,
TRBV20-1,TRBV20-1*01,Bos_taurus,
TRBV20-2,TRBV20-2*01,Bos_taurus,
TRBV20-3,TRBV20-3*01,Bos_taurus,
TRBV20-4,TRBV20-4*01,Bos_taurus,
TRBV20-5,TRBV20-5*01,Bos_taurus,
TRBV20-6,TRBV20-6*01,Bos_taurus,
TRBV21-1,TRBV21-1*01,Bos_taurus,
TRBV21-11,TRBV21-11*01,Bos_taurus,
TRBV21-12,TRBV21-12*01,Bos_taurus,
TRBV21-13,TRBV21-13*01,Bos_taurus,
TRBV21-14,TRBV21-14*01,Bos_taurus,
TRBV21-15,TRBV21-15*01,Bos_taurus,
TRBV21-16,TRBV21-16*01,Bos_taurus,
TRBV21-17,TRBV21-17*01,Bos_taurus,
TRBV21-18,TRBV21-18*01,Bos_taurus,
TRBV21-19,TRBV21-19*01,Bos_taurus,
TRBV21-2,TRBV21-2*01,Bos_taurus,
TRBV21-21,TRBV21-21*01,Bos_taurus,
TRBV21-22,TRBV21-22*01,Bos_taurus,
TRBV21-23,TRBV21-23*01,Bos_taurus,
TRBV21-4,TRBV21-4*01,Bos_taurus,
TRBV21-5,TRBV21-5*01,Bos_taurus,
TRBV21-6,TRBV21-6*01,Bos_taurus,
TRBV21-9,TRBV21-9*01,Bos_taurus,
TRBV22,TRBV22*01,Bos_taurus,
TRBV24,TRBV24*01,Bos_taurus,
TRBV25,TRBV25*01,Bos_taurus,
TRBV26,TRBV26*01,Bos_taurus,
TRBV27,TRBV27*01,Bos_taurus,
TRBV28,TRBV28*01,Bos_taurus,
TRBV29-2,TRBV29-2*01,Bos_taurus,
TRBV29-3,TRBV29-3*01,Bos_taurus,
TRBV29-4,TRBV29-4*01,Bos_taurus,
TRBV29-5,TRBV29-5*01,Bos_taurus,
TRBV3,TRBV3*01,Bos_taurus,
TRBV30,TRBV30*01,Bos_taurus,
TRBV30,TRBV30*02,Bos_taurus,
TRBV4,TRBV4*01,Bos_taurus,
TRBV5-11,TRBV5-11*01,Bos_taurus,
TRBV5-11D,TRBV5-11D*01,Bos_taurus,
TRBV5-12,TRBV5-12*01,Bos_taurus,
TRBV5-15,TRBV5-15*01,Bos_taurus,
TRBV5-17,TRBV5-17*01,Bos_taurus,
TRBV5-18,TRBV5-18*01,Bos_taurus,
TRBV5-2,TRBV5-2*01,Bos_taurus,
TRBV5-20,TRBV5-20*01,Bos_taurus,
TRBV5-21,TRBV5-21*01,Bos_taurus,
TRBV5-22,TRBV5-22*01,Bos_taurus,
TRBV5-3,TRBV5-3*01,Bos_taurus,
TRBV5-6,TRBV5-6*01,Bos_taurus,
TRBV5-7,TRBV5-7*01,Bos_taurus,
TRBV6-1,TRBV6-1*01,Bos_taurus,
TRBV6-10,TRBV6-10*01,Bos_taurus,
TRBV6-11,TRBV6-11*01,Bos_taurus,
TRBV6-12,TRBV6-12*01,Bos_taurus,
TRBV6-13,TRBV6-13*01,Bos_taurus,
TRBV6-14,TRBV6-14*01,Bos_taurus,
TRBV6-15,TRBV6-15*01,Bos_taurus,
TRBV6-15D,TRBV6-15D*01,Bos_taurus,
TRBV6-17,TRBV6-17*01,Bos_taurus,
TRBV6-18,TRBV6-18*01,Bos_taurus,
TRBV6-19,TRBV6-19*01,Bos_taurus,
TRBV6-2,TRBV6-2*01,Bos_taurus,
TRBV6-20,TRBV6-20*01,Bos_taurus,
TRBV6-21,TRBV6-21*01,Bos_taurus,
TRBV6-22,TRBV6-22*01,Bos_taurus,
TRBV6-23,TRBV6-23*01,Bos_taurus,
TRBV6-24,TRBV6-24*01,Bos_taurus,
TRBV6-25,TRBV6-25*01,Bos_taurus,
TRBV6-26,TRBV6-26*01,Bos_taurus,
TRBV6-27,TRBV6-27*01,Bos_taurus,
TRBV6-28,TRBV6-28*01,Bos_taurus,
TRBV6-9,TRBV6-9*01,Bos_taurus,
TRBV7-1,TRBV7-1*01,Bos_taurus,
TRBV7-2,TRBV7-2*01,Bos_taurus,
TRDV1-1,TRDV1-1*01,Bos_taurus,
TRDV1-1,TRDV1-1*02,Bos_taurus,
TRDV1-10,TRDV1-10*01,Bos_taurus,
TRDV1-10D,TRDV1-10D*01,Bos_taurus,
TRDV1-11,TRDV1-11*01,Bos_taurus,
TRDV1-11,TRDV1-11*02,Bos_taurus,
TRDV1-12,TRDV1-12*01,Bos_taurus,
TRDV1-13,TRDV1-13*01,Bos_taurus,
TRDV1-13,TRDV1-13*02,Bos_taurus,
TRDV1-14,TRDV1-14*01,Bos_taurus,
TRDV1-15,TRDV1-15*01,Bos_taurus,
TRDV1-15,TRDV1-15*02,Bos_taurus,
TRDV1-15,TRDV1-15*03,Bos_taurus,
TRDV1-16,TRDV1-16*01,Bos_taurus,
TRDV1-17,TRDV1-17*01,Bos_taurus,
TRDV1-17,TRDV1-17*02,Bos_taurus,
TRDV1-18,TRDV1-18*01,Bos_taurus,
TRDV1-19,TRDV1-19*01,Bos_taurus,
TRDV1-2,TRDV1-2*01,Bos_taurus,
TRDV1-20,TRDV1-20*01,Bos_taurus,
TRDV1-21,TRDV1-21*01,Bos_taurus,
TRDV1-22,TRDV1-22*01,Bos_taurus,
TRDV1-23,TRDV1-23*01,Bos_taurus,
TRDV1-24,TRDV1-24*01,Bos_taurus,
TRDV1-25,TRDV1-25*01,Bos_taurus,
TRDV1-27,TRDV1-27*01,Bos_taurus,
TRDV1-27,TRDV1-27*02,Bos_taurus,
TRDV1-28,TRDV1-28*01,Bos_taurus,
TRDV1-29,TRDV1-29*01,Bos_taurus,
TRDV1-29,TRDV1-29*02,Bos_taurus,
TRDV1-29,TRDV1-29*03,Bos_taurus,
TRDV1-3,TRDV1-3*01,Bos_taurus,
TRDV1-30,TRDV1-30*01,Bos_taurus,
TRDV1-31,TRDV1-31*01,Bos_taurus,
TRDV1-32,TRDV1-32*01,Bos_taurus,
TRDV1-33,TRDV1-33*01,Bos_taurus,
TRDV1-33,TRDV1-33*02,Bos_taurus,
TRDV1-33,TRDV1-33*03,Bos_taurus,
TRDV1-33,TRDV1-33*04,Bos_taurus,
TRDV1-33,TRDV1-33*05,Bos_taurus,
TRDV1-4,TRDV1-4*01,Bos_taurus,
TRDV1-5,TRDV1-5*01,Bos_taurus,
TRDV1-6,TRDV1-6*01,Bos_taurus,
TRDV1-7,TRDV1-7*01,Bos_taurus,
TRDV1-8,TRDV1-8*01,Bos_taurus,
TRDV1-8,TRDV1-8*02,Bos_taurus,
TRDV1-9,TRDV1-9*01,Bos_taurus,
TRDV1S1,TRDV1S1*01,Bos_taurus,
TRDV1S2,TRDV1S2*01,Bos_taurus,
TRDV1S22,TRDV1S22*01,Bos_taurus,
TRDV1S29,TRDV1S29*01,Bos_taurus,
TRDV1S29,TRDV1S29*02,Bos_taurus,
TRDV1S31,TRDV1S31*01,Bos_taurus,
TRDV1S37,TRDV1S37*01,Bos_taurus,
TRDV1S38,TRDV1S38*01,Bos_taurus,
TRDV1S4,TRDV1S4*01,Bos_taurus,
TRDV1S40,TRDV1S40*01,Bos_taurus,
TRDV1S45,TRDV1S45*01,Bos_taurus,
TRDV1S47,TRDV1S47*01,Bos_taurus,
TRDV1S49,TRDV1S49*01,Bos_taurus,
TRDV1S5,TRDV1S5*01,Bos_taurus,
TRDV1S53,TRDV1S53*01,Bos_taurus,
TRDV1S54,TRDV1S54*01,Bos_taurus,
TRDV1S56,TRDV1S56*01,Bos_taurus,
TRDV2,TRDV2*01,Bos_taurus,
TRDV3,TRDV3*01,Bos_taurus,
TRDV4,TRDV4*01,Bos_taurus,
TRDV5-1,TRDV5-1*01,Bos_taurus,
TRDV5-1,TRDV5-1*02,Bos_taurus,
TRDV5-1,TRDV5-1*03,Bos_taurus,
TRDV5-2,TRDV5-2*01,Bos_taurus,
TRGV1-1,TRGV1-1*01,Bos_taurus,
TRGV1-1,TRGV1-1*02,Bos_taurus,
TRGV1-1,TRGV1-1*03,Bos_taurus,
TRGV10-1,TRGV10-1*01,Bos_taurus,
TRGV2-1,TRGV2-1*01,Bos_taurus,
TRGV3-1,TRGV3-1*01,Bos_taurus,
TRGV3-1,TRGV3-1*02,Bos_taurus,
TRGV3-2,TRGV3-2*01,Bos_taurus,
TRGV3-2,TRGV3-2*02,Bos_taurus,
TRGV4-1,TRGV4-1*01,Bos_taurus,
TRGV5-1,TRGV5-1*01,Bos_taurus,
TRGV5-1,TRGV5-1*02,Bos_taurus,
TRGV5-1,TRGV5-1*03,Bos_taurus,
TRGV5-1,TRGV5-1*04,Bos_taurus,
TRGV5-1,TRGV5-1*05,Bos_taurus,
TRGV5-2,TRGV5-2*01,Bos_taurus,
TRGV5-2,TRGV5-2*02,Bos_taurus,
TRGV5-2,TRGV5-2*03,Bos_taurus,
TRGV5-2,TRGV5-2*04,Bos_taurus,
TRGV5-2,TRGV5-2*05,Bos_taurus,
TRGV5-2,TRGV5-2*06,Bos_taurus,
TRGV5-2,TRGV5-2*07,Bos_taurus,
TRGV5-2,TRGV5-2*08,Bos_taurus,
TRGV5-2,TRGV5-2*09,Bos_taurus,
TRGV5-2,TRGV5-2*10,Bos_taurus,
TRGV6-1,TRGV6-1*01,Bos_taurus,
TRGV6-1,TRGV6-1*02,Bos_taurus,
TRGV6-2,TRGV6-2*01,Bos_taurus,
TRGV7-1,TRGV7-1*01,Bos_taurus,
TRGV7-1,TRGV7-1*02,Bos_taurus,
TRGV8-1,TRGV8-1*01,Bos_taurus,
TRGV8-2,TRGV8-2*01,Bos_taurus,
TRGV8-2,TRGV8-2*02,Bos_taurus,
TRGV8-3,TRGV8-3*01,Bos_taurus,
TRGV8-3,TRGV8-3*02,Bos_taurus,
TRGV8-4,TRGV8-4*01,Bos_taurus,
TRGV9-1,TRGV9-1*01,Bos_taurus,
TRGV9-2,TRGV9-2*01,Bos_taurus,
IGKV1-12,IGKV1-12*01,Camelus_dromedarius,
IGKV1-26,IGKV1-26*01,Camelus_dromedarius,
IGKV1-29,IGKV1-29*01,Camelus_dromedarius,
IGKV1-7,IGKV1-7*01,Camelus_dromedarius,
IGKV2-13,IGKV2-13*01,Camelus_dromedarius,
IGKV2-28,IGKV2-28*01,Camelus_dromedarius,
IGKV2-30,IGKV2-30*01,Camelus_dromedarius,
IGKV4-4,IGKV4-4*01,Camelus_dromedarius,
IGKV5-2,IGKV5-2*01,Camelus_dromedarius,
IGKV6-11,IGKV6-11*01,Camelus_dromedarius,
IGKV7-5,IGKV7-5*01,Camelus_dromedarius,
IGKV8-10,IGKV8-10*01,Camelus_dromedarius,
IGKV9-27,IGKV9-27*01,Camelus_dromedarius,
TRAV33S1,TRAV33S1*01,Camelus_dromedarius,
TRAV33S2,TRAV33S2*01,Camelus_dromedarius,
TRAV33S3,TRAV33S3*01,Camelus_dromedarius,
TRBV10,TRBV10*01,Camelus_dromedarius,
TRBV15S1,TRBV15S1*01,Camelus_dromedarius,
TRBV15S2,TRBV15S2*01,Camelus_dromedarius,
TRBV19,TRBV19*01,Camelus_dromedarius,
TRBV2,TRBV2*01,Camelus_dromedarius,
TRBV20,TRBV20*01,Camelus_dromedarius,
TRBV21S1,TRBV21S1*01,Camelus_dromedarius,
TRBV21S2,TRBV21S2*01,Camelus_dromedarius,
TRBV21S3,TRBV21S3*01,Camelus_dromedarius,
TRBV29,TRBV29*01,Camelus_dromedarius,
TRBV5S1,TRBV5S1*01,Camelus_dromedarius,
TRBV5S2,TRBV5S2*01,Camelus_dromedarius,
TRBV5S3,TRBV5S3*01,Camelus_dromedarius,
TRBV6,TRBV6*01,Camelus_dromedarius,
TRBV7S1,TRBV7S1*01,Camelus_dromedarius,
TRBV7S2,TRBV7S2*01,Camelus_dromedarius,
TRBV8,TRBV8*01,Camelus_dromedarius,
TRDV1S1,TRDV1S1*02,Camelus_dromedarius,
TRDV1S2,TRDV1S2*02,Camelus_dromedarius,
TRDV1S3,TRDV1S3*01,Camelus_dromedarius,
TRDV1S4,TRDV1S4*02,Camelus_dromedarius,
TRDV1S6,TRDV1S6*01,Camelus_dromedarius,
TRDV3S1,TRDV3S1*01,Camelus_dromedarius,
TRGV1,TRGV1*01,Camelus_dromedarius,
TRGV2,TRGV2*01,Camelus_dromedarius,
IGHV1-15,IGHV1-15*01,Canis_lupus_familiaris,
IGHV3-10,IGHV3-10*01,Canis_lupus_familiaris,
IGHV3-13,IGHV3-13*01,Canis_lupus_familiaris,
